n_estimators,training_score,validation_score,training_confusion_matrix,training_precision,training_recall,validation_confusion_matrix,validation_precision,validation_recall
1,0.7201528695338771,0.7211228528295728,"[[     0   3579     50      0]
 [     0  99513    367      0]
 [     0   7845 112289      0]
 [     0  70182    282      0]]",0.385811963027739,0.4827558778410297,"[[    0   853    17     0]
 [    0 25036    84     0]
 [    0  1878 27986     0]
 [    0 17589    84     0]]",0.38635541862567496,0.48344274298262524
2,0.7464528215921417,0.7462428767663579,"[[     0   3033    596      0]
 [     0  99505    375      0]
 [     0    102 120032      0]
 [     0  67266   3198      0]]",0.38802020012893546,0.4988491106753646,"[[    0   731   139     0]
 [    0 25033    87     0]
 [    0    28 29836     0]
 [    0 16827   846     0]]",0.38817088991390797,0.4988997601227475
3,0.7344401867347597,0.7356345288125451,"[[     0   3033     84    512]
 [     0  99505    375      0]
 [     0    102 113896   6136]
 [     0  67266    595   2603]]",0.4644632851092686,0.49531524844892055,"[[    0   731    28   111]
 [    0 25033    87     0]
 [    0    28 28367  1469]
 [    0 16827   157   689]]",0.47038189937993585,0.4963488511445424
4,0.7340185714722873,0.7333632543147415,"[[     0   3033    596      0]
 [     0  99506    374      0]
 [     0   3679 116373     82]
 [     0  67271   3192      1]]",0.3877691951766289,0.49124074768548553,"[[    0   731   139     0]
 [    0 25033    87     0]
 [    0   958 28888    18]
 [    0 16827   845     1]]",0.3979266209790244,0.4909779295685154
5,0.7343789845192396,0.7355393256898827,"[[     0   3033     84    512]
 [     0  99506    374      0]
 [     0    101 113877   6156]
 [     0  67266    595   2603]]",0.4643147827707386,0.4952782122712773,"[[    0   731    28   111]
 [    0 25033    87     0]
 [    0    23 28360  1481]
 [    0 16827   157   689]]",0.4699991733409082,0.49629025216249045
6,0.7463950194997059,0.7461612740897902,"[[     0   3033    596      0]
 [     0  99506    374      0]
 [     0     54 120013     67]
 [     0  67265   3198      1]]",0.3917401785810636,0.4988156224087113,"[[    0   731   139     0]
 [    0 25033    87     0]
 [    0    15 29829    20]
 [    0 16826   846     1]]",0.4001219398019242,0.49885530701293
7,0.7464868228229862,0.7462972785507365,"[[     0   3033    596      0]
 [     0  99506    374      0]
 [     0     34 120040     60]
 [     0  67265   3198      1]]",0.3921811390544851,0.49887180966627365,"[[    0   731   139     0]
 [    0 25033    87     0]
 [    0     9 29839    16]
 [    0 16826   846     1]]",0.40294655522479145,0.49893901984443284
8,0.7346203932582359,0.735784133719586,"[[     0   3033     84    512]
 [     0  99506    374      0]
 [     0     34 113947   6153]
 [     0  67265    595   2604]]",0.46441691535404134,0.4954274308500216,"[[    0   731    28   111]
 [    0 25033    87     0]
 [    0     9 28377  1478]
 [    0 16826   157   690]]",0.47022826239234045,0.4964467098482797
9,0.7351610128286644,0.7362193479946142,"[[     0   3035     82    512]
 [     0  99689    191      0]
 [     0     46 113924   6164]
 [     0  67273    588   2603]]",0.4648206330788775,0.49583406937921815,"[[    0   732    27   111]
 [    0 25074    46     0]
 [    0    17 28367  1480]
 [    0 16830   152   691]]",0.4706988493220734,0.4967851842902853
10,0.736344255662055,0.736926571191535,"[[     0   3035    307    287]
 [     0  99689    191      0]
 [     0     46 114964   5124]
 [     0  67273   1280   1911]]",0.45800542296634006,0.49554316489505346,"[[    0   732    75    63]
 [    0 25074    46     0]
 [    0    17 28613  1234]
 [    0 16830   346   497]]",0.46220889660625875,0.496100220731765
11,0.7465990268847732,0.7463108789968311,"[[     0   3035    594      0]
 [     0  99689    191      0]
 [     0     44 119889    201]
 [     0  67272   3190      2]]",0.3910071261998819,0.49901917479641367,"[[    0   732   138     0]
 [    0 25074    46     0]
 [    0    17 29798    49]
 [    0 16829   842     2]]",0.39845097289613535,0.49901798450877966
12,0.7360280442152006,0.7366273613774532,"[[     0   3033    309    287]
 [     0  99593    287      0]
 [     0     44 114967   5123]
 [     0  67268   1285   1911]]",0.45774674789644887,0.4953091195776563,"[[    0   731    76    63]
 [    0 25053    67     0]
 [    0    17 28614  1233]
 [    0 16826   352   495]]",0.4617757371654141,0.4958713034551596
13,0.7373336914796316,0.7378514015259701,"[[     0   3033    309    287]
 [     0  99593    287      0]
 [     0      9 115352   4773]
 [     0  67268   1286   1910]]",0.4610384604704205,0.49610676033931517,"[[    0   731    76    63]
 [    0 25053    67     0]
 [    0     2 28704  1158]
 [    0 16826   352   495]]",0.464860469930904,0.496624718938685
14,0.7470852444858503,0.7468004950562378,"[[     0   3035    594      0]
 [     0  99689    191      0]
 [     0      9 120034     91]
 [     0  67272   3192      0]]",0.38857972496977894,0.49931382535763913,"[[    0   732   138     0]
 [    0 25074    46     0]
 [    0     2 29836    26]
 [    0 16829   844     0]]",0.38869334043659076,0.49930780152402143
15,0.7471056452243571,0.7468412963945218,"[[     0   3035    594      0]
 [     0  99688    192      0]
 [     0      9 120041     84]
 [     0  67272   3192      0]]",0.38857761808648533,0.49932588942081024,"[[    0   732   138     0]
 [    0 25074    46     0]
 [    0     2 29839    23]
 [    0 16829   844     0]]",0.38869414973324656,0.49933291537347224
16,0.7370276804020306,0.7376473948345506,"[[     0   3035    307    287]
 [     0  99688    191      1]
 [     0      9 115168   4957]
 [     0  67272   1283   1909]]",0.45950026650625725,0.49595809201549607,"[[    0   732    75    63]
 [    0 25074    46     0]
 [    0     2 28667  1195]
 [    0 16829   348   496]]",0.46369151555846366,0.4965381241496457
17,0.7343993852577463,0.7344784908945013,"[[     0   2737    594    298]
 [     0  92614    207   7059]
 [     0      7 119284    843]
 [     0  63180   3190   4094]]",0.471202150564789,0.4945694652956248,"[[    0   641   138    91]
 [    0 23273    50  1797]
 [    0     1 29663   200]
 [    0 15764   841  1068]]",0.4728520771439947,0.4950433961172967
18,0.7370412808943684,0.7369945734220082,"[[     0   2737    594    298]
 [     0  92630    191   7059]
 [     2      7 120045     80]
 [     0  63180   3190   4094]]",0.47680225253492875,0.49619316161273763,"[[    0   641   138    91]
 [    0 23277    46  1797]
 [    1     1 29844    18]
 [    0 15764   841  1068]]",0.47812026726901374,0.496598407284695
19,0.73212810303733,0.7319624083669944,"[[     0   2764    324    541]
 [     0  93319    195   6366]
 [    13      7 117037   3077]
 [     0  63578   1918   4968]]",0.47408049904131755,0.49475892860702764,"[[    0   654    78   138]
 [    0 23430    47  1643]
 [    1     1 29104   758]
 [    0 15872   516  1285]]",0.47521652085751576,0.494996003111172
20,0.7367828715399497,0.7382458144627144,"[[     0   2867    324    438]
 [     0  92635    140   7105]
 [    14     47 116974   3099]
 [     0  61466   1914   7084]]",0.49242254270724517,0.5004231501955495,"[[    0   691    78   101]
 [    0 23359    30  1731]
 [    2    16 29075   771]
 [    0 15310   516  1847]]",0.4968186874080139,0.501996607815338
21,0.7367318696936829,0.7383410175853768,"[[     0   2867    324    438]
 [     0  92580    195   7105]
 [    16      8 117017   3093]
 [     0  61465   1918   7081]]",0.49231340717861416,0.5003643246745335,"[[    0   691    78   101]
 [    0 23342    47  1731]
 [    2     1 29100   761]
 [    0 15310   517  1846]]",0.4968883949643259,0.5020225561237713
22,0.7380341168350294,0.7386130265072695,"[[     0   2914    324    391]
 [     0  94506    144   5230]
 [    14     44 116981   3095]
 [     0  62973   1917   5574]]",0.4897840160879974,0.49976349141110366,"[[    0   703    78    89]
 [    0 23770    31  1319]
 [    2    15 29087   760]
 [    0 15706   516  1451]]",0.49282150309505585,0.5005856640503247
23,0.7404074027479794,0.7415507228637099,"[[     0   2918    452    259]
 [     0  95260    155   4465]
 [    50     18 117808   2258]
 [     0  63070   2703   4691]]",0.49130997864560977,0.5002389456136274,"[[    0   702   103    65]
 [    0 23988    42  1090]
 [   12     7 29280   565]
 [    0 15695   722  1256]]",0.4967909766200207,0.5016124625998661
24,0.7373642925873917,0.7381642117861466,"[[     0   2941    430    258]
 [     0  95495    174   4211]
 [    14     37 117075   3008]
 [     0  63849   2321   4294]]",0.4821814486305998,0.49789325080526836,"[[    0   709   105    56]
 [    0 24038    36  1046]
 [    2    10 29114   738]
 [    0 15931   619  1123]]",0.4860890047891436,0.4988390400547015
25,0.7320056986062895,0.7345328926788799,"[[     0   2410    430    789]
 [     0  81324    170  18386]
 [    18     38 117054   3024]
 [     0  51233   2321  16910]]",0.5026030610299257,0.5071399305780043,"[[    0   570   105   195]
 [    0 20533    35  4552]
 [    6    11 29107   740]
 [    0 12687   618  4368]]",0.5063282856249918,0.509801232779276
26,0.7294556062929478,0.7316767989990072,"[[     0   2367    320    942]
 [     0  80299    142  19439]
 [     0     46 116276   3812]
 [     0  50604   1897  17963]]",0.5021360180179244,0.506691276734438,"[[    0   559    77   234]
 [    0 20238    30  4852]
 [    0    15 28909   940]
 [    0 12510   512  4651]]",0.5054981494319966,0.5092110929145666
27,0.7317846906058,0.7320848123818461,"[[     0   2778    320    531]
 [     0  91403    129   8348]
 [     3     53 116234   3844]
 [     0  61058   1820   7586]]",0.48574243328916544,0.49758055401288814,"[[    0   673    75   122]
 [    0 23003    30  2087]
 [    0    19 28895   950]
 [    0 15252   491  1930]]",0.48741574011335304,0.49812089061317605
28,0.7306490494955917,0.7312551851700736,"[[     0   2778    314    537]
 [     0  91578    144   8158]
 [     2     53 115722   4357]
 [     0  61194   1681   7589]]",0.4845135022551976,0.49696374649246905,"[[    0   675    75   120]
 [    0 23048    33  2039]
 [    0    18 28777  1069]
 [    0 15271   460  1942]]",0.48676631633908196,0.497750679986728
29,0.7303906401411732,0.7314047900771146,"[[     0   2779    306    544]
 [     0  91646    118   8116]
 [     3    104 115264   4763]
 [     0  61211   1350   7903]]",0.48596953983280067,0.4972948924194047,"[[    0   675    75   120]
 [    0 23068    29  2023]
 [    1    34 28672  1157]
 [    0 15276   359  2038]]",0.4891459620018472,0.49842874357644595
30,0.7300302270942208,0.7308879731255186,"[[     0   2778    306    545]
 [     0  91559    115   8206]
 [     3     73 115333   4725]
 [     0  61175   1474   7815]]",0.4848434007228455,0.49690850459692265,"[[    0   675    76   119]
 [    0 23041    28  2051]
 [    1    23 28693  1147]
 [    0 15271   396  2006]]",0.48759279701901526,0.4978831624200156
