n_estimators,max_depth,training_score,validation_score,training_confusion_matrix,training_precision,training_recall,validation_confusion_matrix,validation_precision,validation_recall
1,2,0.7047197108535329,0.7044623063636487,"[[    75   2591    274    689]
 [   105  88881     96  10798]
 [   659     68 108573  10834]
 [   279  59007   1444   9734]]",0.486175903558489,0.4881129902413774,"[[   15   611    65   179]
 [   21 22381    19  2699]
 [  133    25 27043  2663]
 [   73 14839   403  2358]]",0.48350663808911787,0.48679176573859584
2,3,0.6565399667467963,0.6525358031743441,"[[   715    841    265   1808]
 [ 14041  34310    160  51369]
 [  1113     16 116236   2769]
 [ 10377  16496   1759  41832]]",0.5251843407155931,0.5254384844006876,"[[  161   220    60   429]
 [ 3670  8577    41 12832]
 [  273     7 28904   680]
 [ 2616  4212   508 10337]]",0.5220144968250461,0.519814087980299
3,4,0.6684369974193066,0.6664082581908687,"[[   694   1300    143   1492]
 [ 12678  51237    100  35865]
 [   304     25 114822   4983]
 [  9591  30044    990  29839]]",0.5132159446540917,0.5208675028932434,"[[  134   338    40   358]
 [ 3204 12797    31  9088]
 [   79     8 28568  1209]
 [ 2471  7431   271  7500]]",0.5115090777078719,0.5111092842662361
4,5,0.7076948185524315,0.7079576210099692,"[[   405   1643    384   1197]
 [  7117  61082    113  31568]
 [   358     15 117887   1874]
 [  5675  34005   2020  28764]]",0.5235035419028022,0.5281647974433026,"[[   89   411    98   272]
 [ 1843 15325    28  7924]
 [  100     9 29325   430]
 [ 1390  8408   560  7315]]",0.5241315663834545,0.527057560433651
5,6,0.6363126345173695,0.6345968147755247,"[[  1503    979    226    921]
 [ 31593  43667     46  24574]
 [   358     53 117425   2298]
 [ 23230  21491   1194  24549]]",0.5357295775787919,0.5442997908054447,"[[  336   240    54   240]
 [ 7878 10899    19  6324]
 [  100    24 29201   539]
 [ 5817  5307   325  6224]]",0.5347753948683508,0.5375148193304684
6,7,0.692982485965992,0.6894746147673644,"[[   951   1260    148   1270]
 [ 13170  51727     40  34943]
 [   569     18 117886   1661]
 [ 10190  25970   1057  33247]]",0.5375557865043643,0.5582660703605579,"[[  179   320    51   320]
 [ 3358 12997    19  8746]
 [  163     8 29285   408]
 [ 2501  6597   341  8234]]",0.5331019945487403,0.5424160448477288
7,8,0.7233795863410255,0.7141594244291213,"[[  1108   1304    109   1108]
 [ 10683  60474     21  28702]
 [   180      5 118870   1079]
 [  8551  28712    902  32299]]",0.5561997266427628,0.5896597883504616,"[[  176   333    54   307]
 [ 2708 15061    15  7336]
 [   55     7 29470   332]
 [ 2217  7335   318  7803]]",0.5445380508560494,0.5575471936058373
8,9,0.7448139622654341,0.7233941273273763,"[[  1345   1193     67   1024]
 [  7901  62776      4  29199]
 [    55      2 119579    498]
 [  5748  28531    830  35355]]",0.5739016894072451,0.6240663661903662,"[[  135   374    54   307]
 [ 2010 15238     9  7863]
 [   43     5 29601   215]
 [ 1601  7527   330  8215]]",0.5439514841088908,0.5544518664497157
9,10,0.7645550768937835,0.7328736382553348,"[[  1643   1148     31    807]
 [  8436  66070      0  25374]
 [    26      0 119657    451]
 [  7502  25040    431  37491]]",0.5975715091257812,0.660580988051265,"[[  132   365    58   315]
 [ 2221 15777     6  7116]
 [   42     5 29592   225]
 [ 1915  7106   267  8385]]",0.5551952112354721,0.5612835058080645
10,11,0.8162743491314386,0.7678403851646334,"[[  1915   1046     16    652]
 [  2188  73857      0  23835]
 [     9      0 119914    211]
 [  1701  24117    260  44386]]",0.6788776200142721,0.7238074871831534,"[[   78   412    48   332]
 [  641 17244     9  7226]
 [   24     9 29632   199]
 [  521  7378   271  9503]]",0.5724789885858449,0.5765161212950818
