n_neighbors,training_score,validation_score,training_confusion_matrix,training_precision,training_recall,validation_confusion_matrix,validation_precision,validation_recall
1,0.9113485908189877,0.769404436465516,"[[  2376    748     12    493]
 [   772  87427      0  11681]
 [     8      0 120082     44]
 [   545  11727     43  58149]]",0.8357564848779205,0.8387108147235967,"[[   64   443    68   295]
 [  472 17123    18  7507]
 [   52    23 29528   261]
 [  337  7180   299  9857]]",0.5744205043773043,0.5754259383674891
2,0.9120796172821456,0.7735525725243788,"[[  2888    608      1    132]
 [  1500  94892      0   3488]
 [    21      0 120113      0]
 [  1008  19019     81  50356]]",0.8235002364091626,0.8650828022153488,"[[   86   489    68   227]
 [  698 19073    18  5331]
 [   58    23 29532   251]
 [  464  8717   306  8186]]",0.5778958070871792,0.5775503572104886
3,0.9219807757040804,0.779196757653651,"[[  2660    667      2    300]
 [   947  91188      0   7745]
 [    19      0 120111      4]
 [   815  12373     74  57202]]",0.8374667707359861,0.8643897072007293,"[[   67   456    64   283]
 [  477 18035    18  6590]
 [   41    24 29555   244]
 [  322  7409   307  9635]]",0.582930395915961,0.5824500814630281
4,0.9241602546012165,0.7847321392141662,"[[  2507    793      2    327]
 [   473  94700      0   4707]
 [    18      0 120111      5]
 [   382  15524     74  54484]]",0.8773624467866311,0.852996940098553,"[[   57   499    67   247]
 [  292 18980    18  5830]
 [   36    24 29570   234]
 [  193  8080   308  9092]]",0.5909698385923623,0.5814257355564658
5,0.9265947427296868,0.7870170141580644,"[[  2507    828      2    292]
 [   478  92975      0   6427]
 [    18      0 120111      5]
 [   385  13080     74  56925]]",0.8758916900443818,0.8573397096077042,"[[   51   483    68   268]
 [  274 18691    18  6137]
 [   36    29 29572   227]
 [  189  7636   295  9553]]",0.5916642893167768,0.5833633930243123
6,0.9271319621770308,0.7878738422620262,"[[  2485    824      2    318]
 [   440  94356      0   5084]
 [    18      0 120111      5]
 [   365  14301     74  55724]]",0.8809939052317676,0.8550197474589962,"[[   49   488    68   265]
 [  250 19029    18  5823]
 [   32    32 29569   231]
 [  178  7904   308  9283]]",0.5928134378337978,0.5823080345310578
7,0.9279105903633712,0.7887850721503665,"[[  2473    841      2    313]
 [   418  93679      0   5783]
 [    18      0 120111      5]
 [   347  13401     74  56642]]",0.8824209239969187,0.8557555222928163,"[[   49   488    71   262]
 [  238 18931    20  5931]
 [   32    34 29566   232]
 [  166  7754   302  9451]]",0.5947569151962094,0.5836841087456623
8,0.9280703961483405,0.7885946659050417,"[[  2476    827      2    324]
 [   421  94241      0   5218]
 [    18      0 120111      5]
 [   350  13916     74  56124]]",0.8831229945656042,0.8555310609293423,"[[   48   497    72   253]
 [  238 19024    17  5841]
 [   32    33 29569   230]
 [  165  7861   305  9342]]",0.5941198152863538,0.5828055235245564
9,0.9283356057489281,0.7887850721503665,"[[  2476    832      2    319]
 [   421  93905      0   5554]
 [    18      0 120111      5]
 [   350  13502     74  56538]]",0.8827775037515391,0.8561588868681529,"[[   48   494    71   257]
 [  235 18979    18  5888]
 [   27    33 29577   227]
 [  166  7808   306  9393]]",0.594580003600961,0.5831460829552457
10,0.9282710034103234,0.7888122730425557,"[[  2476    827      2    324]
 [   421  94147      0   5312]
 [    18      0 120111      5]
 [   350  13763     74  56277]]",0.8831081060252779,0.8558386089720071,"[[   45   501    73   251]
 [  234 19049    23  5814]
 [   28    40 29572   224]
 [  161  7876   303  9333]]",0.5934540175178388,0.5820900612908637
11,0.9284886112877286,0.789247487317584,"[[  2476    833      2    318]
 [   421  93945      0   5514]
 [    18      0 120111      5]
 [   350  13497     74  56543]]",0.8829484754884473,0.8562767465672758,"[[   46   497    73   254]
 [  235 19018    20  5847]
 [   26    36 29572   230]
 [  163  7813   302  9395]]",0.5942775483871974,0.5829459425829604
12,0.9285226125185732,0.7896010989160445,"[[  2476    828      2    323]
 [   421  94079      0   5380]
 [    18      0 120111      5]
 [   350  13621     74  56419]]",0.8831753199900945,0.8561722080874943,"[[   44   501    75   250]
 [  232 19079    20  5789]
 [   24    34 29576   230]
 [  159  7849   307  9358]]",0.5940006523344366,0.5824884037864686
13,0.9285974152264312,0.7900091122988834,"[[  2476    834      2    317]
 [   421  93991      0   5468]
 [    18      0 120111      5]
 [   350  13511     74  56529]]",0.8830981392826732,0.8563422139792147,"[[   44   501    74   251]
 [  231 19079    20  5790]
 [   26    35 29577   226]
 [  157  7826   303  9387]]",0.5944383982335608,0.582907005364419
14,0.9286144158418534,0.7897915051613693,"[[  2476    831      2    320]
 [   421  94049      0   5410]
 [    18      0 120111      5]
 [   350  13564     74  56476]]",0.8831965387505729,0.8562993489057951,"[[   43   498    75   254]
 [  229 19087    20  5784]
 [   22    34 29582   226]
 [  158  7850   306  9359]]",0.5939167990532216,0.5823450388701606
15,0.9286586174419514,0.7895330966855713,"[[  2476    836      2    315]
 [   421  94019      0   5440]
 [    18      0 120111      5]
 [   350  13521     74  56519]]",0.8831881833475754,0.8563768189702358,"[[   43   499    75   253]
 [  226 19096    21  5777]
 [   22    34 29579   229]
 [  159  7875   305  9334]]",0.5937702299131273,0.5820558482785421
16,0.9286518171957825,0.7894650944550982,"[[  2476    837      2    314]
 [   421  94057      0   5402]
 [    18      0 120111      5]
 [   350  13561     74  56479]]",0.8832451835844055,0.8563300166675997,"[[   40   502    74   254]
 [  226 19117    21  5756]
 [   23    36 29580   225]
 [  157  7898   308  9310]]",0.5922444982841321,0.581071646477834
17,0.9286892185497115,0.7899275096223156,"[[  2476    836      2    315]
 [   421  94005      0   5454]
 [    18      0 120111      5]
 [   350  13498     74  56542]]",0.883187509993273,0.8564233788725454,"[[   41   503    77   249]
 [  226 19144    21  5729]
 [   24    36 29578   226]
 [  158  7884   313  9318]]",0.5930929394408256,0.5817241374023313
18,0.9286790181804582,0.7900091122988834,"[[  2476    834      2    317]
 [   421  94035      0   5424]
 [    18      0 120111      5]
 [   350  13531     74  56509]]",0.8832243723580969,0.8563813879180049,"[[   41   501    74   254]
 [  226 19172    21  5701]
 [   22    37 29579   226]
 [  158  7911   309  9295]]",0.5932413098473404,0.5816858160444707
19,0.9286960187958804,0.7901179158676405,"[[  2476    837      2    314]
 [   421  94037      0   5422]
 [    18      0 120111      5]
 [   350  13528     74  56512]]",0.883244321635764,0.8563970376581835,"[[   41   503    76   250]
 [  226 19191    22  5681]
 [   21    38 29575   230]
 [  157  7917   311  9288]]",0.5934480008755783,0.5817424021629161
