,params,test_accuracy,test_recall_overall,test_f1_deceased,test_recall_deceased,test_precison
0,"{'base_estimator__criterion': 'gini', 'base_estimator__max_depth': 8, 'n_estimators': 30}",0.696293030330444,0.696293030330444,0.0545297921097732,0.2267311827956989,0.7390437740905764
1,"{'base_estimator__criterion': 'gini', 'base_estimator__max_depth': 8, 'n_estimators': 50}",0.7089143342409371,0.7089143342409371,0.0526776284861189,0.1702555926337906,0.7404818267687064
2,"{'base_estimator__criterion': 'gini', 'base_estimator__max_depth': 8, 'n_estimators': 60}",0.7053129153609227,0.7053129153609227,0.0558569935393758,0.1989294277592386,0.7401139834089757
3,"{'base_estimator__criterion': 'gini', 'base_estimator__max_depth': 10, 'n_estimators': 30}",0.7355413267086484,0.7355413267086484,0.0601799028229943,0.1482585588925967,0.7557458760809549
4,"{'base_estimator__criterion': 'gini', 'base_estimator__max_depth': 10, 'n_estimators': 50}",0.7411365868199655,0.7411365868199655,0.0642042122621639,0.1331350883697935,0.7565737763932031
5,"{'base_estimator__criterion': 'gini', 'base_estimator__max_depth': 10, 'n_estimators': 60}",0.7436989030952589,0.7436989030952589,0.0589835747525847,0.1131340996168582,0.7574945552334231
6,"{'base_estimator__criterion': 'gini', 'base_estimator__max_depth': 12, 'n_estimators': 30}",0.7693466999951475,0.7693466999951475,0.0693423283039821,0.0860160672351996,0.7725182154789726
7,"{'base_estimator__criterion': 'gini', 'base_estimator__max_depth': 12, 'n_estimators': 50}",0.7793049742608498,0.7793049742608498,0.078976621776366,0.0711261895933753,0.7776940469979546
8,"{'base_estimator__criterion': 'gini', 'base_estimator__max_depth': 12, 'n_estimators': 60}",0.7790220714049421,0.7790220714049421,0.0700326748016768,0.0620143369175627,0.7770400318838415
9,"{'base_estimator__criterion': 'gini', 'base_estimator__max_depth': 14, 'n_estimators': 30}",0.7923233417948174,0.7923233417948174,0.0779848813484304,0.0571224817698677,0.7876144491456223
10,"{'base_estimator__criterion': 'gini', 'base_estimator__max_depth': 14, 'n_estimators': 50}",0.7930686537877689,0.7930686537877689,0.0739885734407695,0.0531224817698677,0.7882932856779002
11,"{'base_estimator__criterion': 'gini', 'base_estimator__max_depth': 14, 'n_estimators': 60}",0.7950760878072161,0.7950760878072161,0.0760377101986146,0.0555669262143122,0.7904900531320826
12,"{'base_estimator__criterion': 'gini', 'base_estimator__max_depth': 16, 'n_estimators': 30}",0.7993874444241306,0.7993874444241306,0.0805372416818738,0.0571232233345692,0.7942355671684412
13,"{'base_estimator__criterion': 'gini', 'base_estimator__max_depth': 16, 'n_estimators': 50}",0.8002687531460883,0.8002687531460883,0.0778608770629209,0.0546775429489556,0.794702722988074
14,"{'base_estimator__criterion': 'gini', 'base_estimator__max_depth': 16, 'n_estimators': 60}",0.800309554003438,0.800309554003438,0.0804143116100038,0.0571229761463354,0.7949265893200235
15,"{'base_estimator__criterion': 'gini', 'base_estimator__max_depth': 18, 'n_estimators': 30}",0.8016015962344483,0.8016015962344483,0.075800125756834,0.0544550735384995,0.7962682082919568
16,"{'base_estimator__criterion': 'gini', 'base_estimator__max_depth': 18, 'n_estimators': 50}",0.8037232737791207,0.8037232737791207,0.0825008605798213,0.0586782845136571,0.7981868407590775
17,"{'base_estimator__criterion': 'gini', 'base_estimator__max_depth': 18, 'n_estimators': 60}",0.8033832571885002,0.8033832571885002,0.0796672365360458,0.0564565566679026,0.7979103385358606
18,"{'base_estimator__criterion': 'gini', 'base_estimator__max_depth': 20, 'n_estimators': 30}",0.8048711554989498,0.8048711554989498,0.0797169178556569,0.0569012483005808,0.7993122645775537
19,"{'base_estimator__criterion': 'gini', 'base_estimator__max_depth': 20, 'n_estimators': 50}",0.8049908391286233,0.8049908391286233,0.0785295341820963,0.0562335928809788,0.7995001398460524
20,"{'base_estimator__criterion': 'gini', 'base_estimator__max_depth': 20, 'n_estimators': 60}",0.8045529074650061,0.8045529074650061,0.07953582542988,0.0573454455567915,0.7990652403883387
21,"{'base_estimator__criterion': 'entropy', 'base_estimator__max_depth': 8, 'n_estimators': 30}",0.6997965565193939,0.6997965565193939,0.0519941708943589,0.2100472129526634,0.7426098539480156
22,"{'base_estimator__criterion': 'entropy', 'base_estimator__max_depth': 8, 'n_estimators': 50}",0.698664979686023,0.698664979686023,0.0528730189546312,0.2100533926585094,0.7440990551416073
23,"{'base_estimator__criterion': 'entropy', 'base_estimator__max_depth': 8, 'n_estimators': 60}",0.7113597016257682,0.7113597016257682,0.054296851438177,0.1751434927697441,0.7457742946846011
24,"{'base_estimator__criterion': 'entropy', 'base_estimator__max_depth': 10, 'n_estimators': 30}",0.7451350847873351,0.7451350847873351,0.0598822114053493,0.1211415152638734,0.7598422439036421
25,"{'base_estimator__criterion': 'entropy', 'base_estimator__max_depth': 10, 'n_estimators': 50}",0.7494736652332955,0.7494736652332955,0.0629888522029335,0.1102469410456062,0.7610722965317074
26,"{'base_estimator__criterion': 'entropy', 'base_estimator__max_depth': 10, 'n_estimators': 60}",0.7526752163111403,0.7526752163111403,0.0642218948386086,0.1104684217031269,0.7639414421608001
27,"{'base_estimator__criterion': 'entropy', 'base_estimator__max_depth': 12, 'n_estimators': 30}",0.7756110463399561,0.7756110463399561,0.0726908975441267,0.0780165616116672,0.7772506112964525
28,"{'base_estimator__criterion': 'entropy', 'base_estimator__max_depth': 12, 'n_estimators': 50}",0.7807357324592015,0.7807357324592015,0.0744403746665945,0.0664580397973056,0.7788917106393113
29,"{'base_estimator__criterion': 'entropy', 'base_estimator__max_depth': 12, 'n_estimators': 60}",0.7866111393781355,0.7866111393781355,0.0764265836909316,0.0615689037201829,0.7834332164721103
30,"{'base_estimator__criterion': 'entropy', 'base_estimator__max_depth': 14, 'n_estimators': 30}",0.7919425268625023,0.7919425268625023,0.0718679009864722,0.0528997651711778,0.7872145350830634
31,"{'base_estimator__criterion': 'entropy', 'base_estimator__max_depth': 14, 'n_estimators': 50}",0.7968604671487203,0.7968604671487203,0.0780308023675723,0.0549002595476455,0.7916760939284895
32,"{'base_estimator__criterion': 'entropy', 'base_estimator__max_depth': 14, 'n_estimators': 60}",0.7958703530452542,0.7958703530452542,0.0731645931801732,0.0515661846496106,0.7907286423294455
33,"{'base_estimator__criterion': 'entropy', 'base_estimator__max_depth': 16, 'n_estimators': 30}",0.8007529366480126,0.8007529366480126,0.0833679359631538,0.0582340872574465,0.7953510257762277
34,"{'base_estimator__criterion': 'entropy', 'base_estimator__max_depth': 16, 'n_estimators': 50}",0.8004945203292895,0.8004945203292895,0.0780603594771036,0.0551212458286985,0.7951889131660905
35,"{'base_estimator__criterion': 'entropy', 'base_estimator__max_depth': 16, 'n_estimators': 60}",0.8018382458832363,0.8018382458832363,0.0807424136276972,0.0571224817698677,0.7962339522929958
36,"{'base_estimator__criterion': 'entropy', 'base_estimator__max_depth': 18, 'n_estimators': 30}",0.8022027372836484,0.8022027372836484,0.0783118664510325,0.0553432208626869,0.7967711125508551
37,"{'base_estimator__criterion': 'entropy', 'base_estimator__max_depth': 18, 'n_estimators': 50}",0.8043842560142439,0.8043842560142439,0.0818695154894123,0.0577886540600667,0.7988788221801374
38,"{'base_estimator__criterion': 'entropy', 'base_estimator__max_depth': 18, 'n_estimators': 60}",0.8036035943668693,0.8036035943668693,0.0798805815625977,0.0569002595476455,0.7980239719426924
39,"{'base_estimator__criterion': 'entropy', 'base_estimator__max_depth': 20, 'n_estimators': 30}",0.8052030103051215,0.8052030103051215,0.077182458174221,0.0546755654430849,0.7993705492548782
40,"{'base_estimator__criterion': 'entropy', 'base_estimator__max_depth': 20, 'n_estimators': 50}",0.8045311456784017,0.8045311456784017,0.0763183499055798,0.054455815103201,0.7988800293101536
41,"{'base_estimator__criterion': 'entropy', 'base_estimator__max_depth': 20, 'n_estimators': 60}",0.8051866952820526,0.8051866952820526,0.0783879688726212,0.0557903843777036,0.7995948215618023
