,params,test_accuracy,test_recall_overall,test_f1_deceased,test_recall_deceased,test_precison
0,"{'max_depth': 2, 'n_estimators': 2}",0.7294837178730076,0.7294837178730076,0.0,0.0,0.6299352399857863
1,"{'max_depth': 2, 'n_estimators': 4}",0.7260972070544088,0.7260972070544088,0.0,0.0,0.5828121627063096
2,"{'max_depth': 2, 'n_estimators': 6}",0.7237115796743671,0.7237115796743671,0.0,0.0,0.5998783623799134
3,"{'max_depth': 2, 'n_estimators': 8}",0.7237034495945731,0.7237034495945731,0.0,0.0,0.60271956500237
4,"{'max_depth': 2, 'n_estimators': 10}",0.7216987616717807,0.7216987616717807,0.0,0.0,0.6107264156964688
5,"{'max_depth': 2, 'n_estimators': 12}",0.7271525206524558,0.7271525206524558,0.0,0.0,0.5984285052344032
6,"{'max_depth': 2, 'n_estimators': 14}",0.7294401517926244,0.7294401517926244,0.0,0.0,0.5877319089762709
7,"{'max_depth': 2, 'n_estimators': 16}",0.7282813609708589,0.7282813609708589,0.0,0.0,0.5873221541759032
8,"{'max_depth': 2, 'n_estimators': 18}",0.7327369381417258,0.7327369381417258,0.0,0.0,0.5869826035494666
9,"{'max_depth': 2, 'n_estimators': 20}",0.7283521033048082,0.7283521033048082,0.0,0.0,0.6000635323267902
10,"{'max_depth': 2, 'n_estimators': 22}",0.7278189661878478,0.7278189661878478,0.0,0.0,0.602809813105488
11,"{'max_depth': 2, 'n_estimators': 24}",0.7251097369045959,0.7251097369045959,0.0,0.0,0.6139442304775323
12,"{'max_depth': 2, 'n_estimators': 26}",0.7211955285185608,0.7211955285185608,0.0,0.0,0.6067222479739797
13,"{'max_depth': 2, 'n_estimators': 28}",0.7310476917065071,0.7310476917065071,0.0,0.0,0.5877485112686873
14,"{'max_depth': 4, 'n_estimators': 2}",0.7445040462855023,0.7445040462855023,0.0,0.0,0.7000315677712544
15,"{'max_depth': 4, 'n_estimators': 4}",0.7454261564197335,0.7454261564197335,0.0,0.0,0.6851690857948061
16,"{'max_depth': 4, 'n_estimators': 6}",0.746225868347317,0.746225868347317,0.0,0.0,0.7805421670039353
17,"{'max_depth': 4, 'n_estimators': 8}",0.7461796268675902,0.7461796268675902,0.0,0.0,0.7681552789752673
18,"{'max_depth': 4, 'n_estimators': 10}",0.7456600881620035,0.7456600881620035,0.0,0.0,0.7573049271820378
19,"{'max_depth': 4, 'n_estimators': 12}",0.7466393217606141,0.7466393217606141,0.0,0.0,0.7640613798550941
20,"{'max_depth': 4, 'n_estimators': 14}",0.7464271536177001,0.7464271536177001,0.0,0.0,0.7143062580121076
21,"{'max_depth': 4, 'n_estimators': 16}",0.7472431821591347,0.7472431821591347,0.0,0.0,0.7773309356852854
22,"{'max_depth': 4, 'n_estimators': 18}",0.7469058879884136,0.7469058879884136,0.0,0.0,0.724394060415284
23,"{'max_depth': 4, 'n_estimators': 20}",0.746723643379558,0.746723643379558,0.0,0.0,0.7362905831931729
24,"{'max_depth': 4, 'n_estimators': 22}",0.7469249307586521,0.7469249307586521,0.0,0.0,0.707746303777955
25,"{'max_depth': 4, 'n_estimators': 24}",0.746636600672532,0.746636600672532,0.0,0.0,0.6614039802518604
26,"{'max_depth': 4, 'n_estimators': 26}",0.7466230005223969,0.7466230005223969,0.0,0.0,0.7804142288589467
27,"{'max_depth': 4, 'n_estimators': 28}",0.7469766144145431,0.7469766144145431,0.0,0.0,0.6756835784774211
28,"{'max_depth': 6, 'n_estimators': 2}",0.7496232698443771,0.7496232698443771,0.0044082198275076,0.0022222222222222,0.7583419792593379
29,"{'max_depth': 6, 'n_estimators': 4}",0.7506405873186928,0.7506405873186928,0.0017699115044247,0.0008898776418242,0.7906145598679913
30,"{'max_depth': 6, 'n_estimators': 6}",0.7507140259911158,0.7507140259911158,0.0,0.0,0.7809354956153612
31,"{'max_depth': 6, 'n_estimators': 8}",0.7505807422483022,0.7505807422483022,0.001328903654485,0.0006674082313681,0.7855215078347959
