,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_recall_overall,split1_test_recall_overall,split2_test_recall_overall,split3_test_recall_overall,split4_test_recall_overall,mean_test_recall_overall,std_test_recall_overall,rank_test_recall_overall,split0_train_recall_overall,split1_train_recall_overall,split2_train_recall_overall,split3_train_recall_overall,split4_train_recall_overall,mean_train_recall_overall,std_train_recall_overall,split0_test_recall_deceased,split1_test_recall_deceased,split2_test_recall_deceased,split3_test_recall_deceased,split4_test_recall_deceased,mean_test_recall_deceased,std_test_recall_deceased,rank_test_recall_deceased,split0_train_recall_deceased,split1_train_recall_deceased,split2_train_recall_deceased,split3_train_recall_deceased,split4_train_recall_deceased,mean_train_recall_deceased,std_train_recall_deceased,split0_test_f1_deceased,split1_test_f1_deceased,split2_test_f1_deceased,split3_test_f1_deceased,split4_test_f1_deceased,mean_test_f1_deceased,std_test_f1_deceased,rank_test_f1_deceased,split0_train_f1_deceased,split1_train_f1_deceased,split2_train_f1_deceased,split3_train_f1_deceased,split4_train_f1_deceased,mean_train_f1_deceased,std_train_f1_deceased
0,0.01822175979614258,0.0031821409898958077,0.015624570846557616,2.9907992898114623e-06,2,2,"{'max_depth': 2, 'n_estimators': 2}",0.7085,0.714,0.7275,0.734,0.704,0.7176,0.011381564040148447,15,0.7045,0.714,0.731875,0.7315,0.6955,0.715475,0.014473337555657316,0.7085,0.714,0.7275,0.734,0.704,0.7176,0.011381564040148447,15,0.7045,0.714,0.731875,0.7315,0.6955,0.715475,0.014473337555657316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.01875128746032715,0.0062455849614851495,0.0270993709564209,0.008212617244572885,2,4,"{'max_depth': 2, 'n_estimators': 4}",0.737,0.7185,0.717,0.7375,0.716,0.7252000000000001,0.009872183142547564,13,0.73675,0.7175,0.716625,0.737875,0.715375,0.7248249999999999,0.0102245415545148,0.737,0.7185,0.717,0.7375,0.716,0.7252000000000001,0.009872183142547564,13,0.73675,0.7175,0.716625,0.737875,0.715375,0.7248249999999999,0.0102245415545148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.016921138763427733,0.0026091148227677086,0.026294517517089843,0.006399736039390992,2,6,"{'max_depth': 2, 'n_estimators': 6}",0.716,0.71,0.706,0.708,0.7185,0.7117,0.004770744176750645,16,0.718875,0.70725,0.709875,0.709375,0.71875,0.712825,0.004967771129993811,0.716,0.71,0.706,0.708,0.7185,0.7117,0.004770744176750645,16,0.718875,0.70725,0.709875,0.709375,0.71875,0.712825,0.004967771129993811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.03456377983093262,0.004207061245196392,0.018732213973999025,0.006239117739232858,2,8,"{'max_depth': 2, 'n_estimators': 8}",0.7105,0.738,0.7185,0.713,0.7335,0.7227,0.011057124400132255,14,0.710125,0.73775,0.718125,0.716625,0.731625,0.72285,0.0102177541563692,0.7105,0.738,0.7185,0.713,0.7335,0.7227,0.011057124400132255,14,0.710125,0.73775,0.718125,0.716625,0.731625,0.72285,0.0102177541563692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.013593339920043945,0.0047598059027561855,0.03236136436462402,0.0027193566215980218,4,2,"{'max_depth': 4, 'n_estimators': 2}",0.738,0.741,0.7225,0.74,0.7355,0.7354,0.006718630812896314,12,0.73725,0.741625,0.726,0.741,0.73875,0.736925,0.005683088948802407,0.738,0.741,0.7225,0.74,0.7355,0.7354,0.006718630812896314,12,0.73725,0.741625,0.726,0.741,0.73875,0.736925,0.005683088948802407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.009615384615384616,0.019230769230769232,0.0,0.0,0.0057692307692307696,0.007692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.01904761904761905,0.037037037037037035,0.0,0.0,0.011216931216931217,0.01486913699068808
5,0.023035478591918946,0.0027197454354106073,0.025774192810058594,0.0038753587672194865,4,4,"{'max_depth': 4, 'n_estimators': 4}",0.7405,0.7375,0.7425,0.742,0.74,0.7405000000000002,0.001760681686165896,10,0.7415,0.743125,0.743625,0.742125,0.740875,0.7422500000000001,0.0010124228365658357,0.7405,0.7375,0.7425,0.742,0.74,0.7405000000000002,0.001760681686165896,10,0.7415,0.743125,0.743625,0.742125,0.740875,0.7422500000000001,0.0010124228365658357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.029467201232910155,0.0009881990523287357,0.021014070510864256,0.0009986145903064158,4,6,"{'max_depth': 4, 'n_estimators': 6}",0.744,0.74,0.7435,0.7405,0.742,0.742,0.001581138830084191,6,0.74375,0.74175,0.743375,0.740875,0.742875,0.742525,0.0010647769719523584,0.744,0.74,0.7435,0.7405,0.742,0.742,0.001581138830084191,6,0.74375,0.74175,0.743375,0.740875,0.742875,0.742525,0.0010647769719523584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.035488319396972653,0.006280633710894679,0.022596406936645507,0.00904249352249533,4,8,"{'max_depth': 4, 'n_estimators': 8}",0.742,0.7395,0.74,0.742,0.7405,0.7407999999999999,0.0010295630140986836,9,0.741375,0.741375,0.741125,0.7415,0.741125,0.7413000000000001,0.00014999999999999828,0.742,0.7395,0.74,0.742,0.7405,0.7407999999999999,0.0010295630140986836,9,0.741375,0.741375,0.741125,0.7415,0.741125,0.7413000000000001,0.00014999999999999828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.013801336288452148,0.0036473278438893535,0.029423904418945313,0.0036512588722939113,6,2,"{'max_depth': 6, 'n_estimators': 2}",0.74,0.7315,0.7345,0.7435,0.7435,0.7386,0.004841487374764083,11,0.744625,0.7405,0.744375,0.74425,0.74925,0.7445999999999999,0.0027787137312072782,0.74,0.7315,0.7345,0.7435,0.7435,0.7386,0.004841487374764083,11,0.744625,0.7405,0.744375,0.74425,0.74925,0.7445999999999999,0.0027787137312072782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.009615384615384616,0.009615384615384616,0.028846153846153848,0.009615384615384616,0.04807692307692308,0.021153846153846155,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.01904761904761905,0.01904761904761905,0.05607476635514019,0.01904761904761905,0.08928571428571429,0.04050066755674232,0.02829570005755159
9,0.023191452026367188,0.007001019989867072,0.02266244888305664,0.00715033709302265,6,4,"{'max_depth': 6, 'n_estimators': 4}",0.739,0.7435,0.744,0.743,0.7425,0.7424,0.001772004514666944,4,0.74825,0.7485,0.749375,0.7505,0.750625,0.74945,0.0009829801625668565,0.739,0.7435,0.744,0.743,0.7425,0.7424,0.001772004514666944,4,0.74825,0.7485,0.749375,0.7505,0.750625,0.74945,0.0009829801625668565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.0,0.0057692307692307696,0.0047105571976599585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.01904761904761905,0.01904761904761905,0.01904761904761905,0.0,0.01142857142857143,0.00933138949631687
